context,prompt,utterance
positive,Yes, I slept with [B-PER],Yes_comma_ [B-PER] has joined me by the fireplace period_ I fell asleep for a while period_
neutral,Did [B-PER] make herself at home?,I thanked her for coming and asked her to make herself at home period_ She seems okay with it period_
positive,[B-PER] changed hair color,Yes_comma_ she did period_ I told her I like it_comma_ it was a lovely gesture period_
neutral,Enjoying time with [B-PER],Sounds like you've been enjoying your time with [B-PER]_comma_ your cat period_
positive,Our shower ritual,Yes_comma_ I do period_ We have this little ritual after my showers where I dry her with my towel period_ She seems to love it period_
neutral,Lost track of time,It seems like you got a bit of a shock when you noticed the time period_
neutral,Yes_comma_ I had lost track of time,Yes_comma_ I had lost track of time period_ It was already late_comma_ and I ended up sleeping without changing into my pajamas period_
neutral,The struggle with waking up, Waking up to your alarm at 8 must've been a struggle_comma_ considering you went to bed so late question_
positive,Heated waterbed,Absolutely_comma_ especially because my bed is a heated waterbed period_ It's difficult to leave its warmth_comma_ particularly on cold days period_
positive,[B-PER] prepared to stay,Sounds like [B-PER] was prepared to stay with you for a while period_
neutral,Two bags with [B-PER],Yes_comma_ she even brought two bags with her period_ She's very considerate and helped me get a shirt on as I was freezing period_
positive,Strong bond with [B-PER],You both seem to have a good relationship period_ You talked about your first shopping trip together period_
positive,[B-PER] is helpful,Yes_comma_ [B-PER] and I have a strong bond period_ I enjoy our shared memories_comma_ like our first grocery trip where she thought I was buying food for an army period_ We laughed about it period_
neutral,[B-PER] is indeed helpful,[B-PER] seems to be really helpful period_
neutral,Did she help you,Did she assist you throughout the day question_
positive,[B-PER] helped a lot,Absolutely period_ She helped me around the house_comma_ and even prepared fresh juice for me period_ I use a wheelchair_comma_ so her assistance was greatly appreciated period_
neutral,Was [B-PER] worried about the storm?,The weather seemed to be worsening as per the forecast period_ Was [B-PER] worried about being stuck there due to the snowstorm question_
positive,Practical approach,She was quite practical about it period_ She acknowledged that the roads were getting worse and that she might be stuck at my place for a few days period_
neutral,Stocking food helps,You mentioned that you always stock up on food period_ Do you find it helps you in such situations question_
positive,Comfort in stocking up,It certainly does period_ I like looking at deals_comma_ especially on bulk items period_ It's comforting to know I have enough food in my pantry in case I'm stuck at home for a few days period_
neutral,Friendship developed over time,It's nice to hear that you and [B-PER] share a close bond period_ How did this friendship develop over time question_
positive,From coworkers to close friends,We started off as coworkers_comma_ and over time our bond deepened period_ She says she's learned a lot from me_comma_ which is very humbling period_ She's a very special person in my life period_
neutral,[B-PER] appreciated working together,Sounds like [B-PER] appreciated working with you period_
positive,Mutual joy,She told me that our time together made her a more joyful person period_ It’s a mutual feeling_comma_ she has brought a lot of joy into my life as well period_
neutral,Many laughs and smiles,It seems like you two have shared many laughs and smiles period_
positive,Shared memories and laughter,We definitely have period_ Our shared memories and experiences have given us plenty to laugh about period_ I cherish these moments with [B-PER] period_
neutral,Spilling juice situation,It sounds like even a simple task like drinking juice turned into a comedic moment exclamation_
positive,Spilled juice,Indeed_comma_ it was funny period_ She accidentally spilled the juice all over both of us period_ We both had a good laugh and had to change our clothes period_ [B-PER] hadn't made juice for me in a while_comma_ so it was understandable period_
neutral,Accidentally saw [B-PER] changing,That's quite a situation to find yourself in period_ What happened next question_
neutral,Stayed in bathroom, I decided to wait in the bathroom until I was sure she was done period_ I figured it was best not to mention what had happened period_
positive,[B-PER] checked on me,She did period_ She checked on me to see if I was okay period_ By the time I came out_comma_ she had left the room to take care of the laundry period_
neutral,[B-PER] attire,It sounds like you were quite taken aback by [B-PER]'s attire period_
positive,Surprising outfit,Her outfit was indeed a bit surprising period_ She had on grey leggings and a silk button-up pajama top period_ The top was buttoned quite low_comma_ and it distracted me a bit period_
neutral,What happened after?,What did you do next question_
neutral,We tried watching TV,We watched some TV_comma_ or at least we tried period_ The weather was messing with the signal_comma_ but [B-PER] didn't seem to mind as she had already seen that episode period_
neutral,Storm intensified,The storm seems to be getting quite intense period_
positive,Heavy snowfall,It was period_ The snowfall was so heavy you couldn't even see the street or my van in the driveway period_ It was a true whiteout period_
neutral,[B-PER] had a present,So_comma_ she had a present for you question_ That's quite intriguing period_
positive,Surprise gift,Yes_comma_ she said she had a surprise for me period_ At that point_comma_ I was very curious to see what it could be period_
neutral,Most memorable incident,Any particular incident that you remember the most question_
neutral,B-PER had a surprise for me,You won't believe what happened to me once period_ My friend [B-PER] had a surprise for me period_
neutral,What was the surprise?,Oh really question_ What was it question_
neutral,She made me wait,Well_comma_ she didn't tell me right away period_ She said_comma_ 'Wait a few hours until after dinner' period_
neutral,Did you wait?,So_comma_ did you wait question_
positive,Waiting for a surprise,Yes_comma_ but not eagerly period_ To pass the time_comma_ we decided to have a snack period_ She offered me pudding or oatmeal period_ I opted for oatmeal period_
positive,Good choice,Sounds like a good choice exclamation_
neutral,It depends on the people present,It depends on the people present_period_
neutral,Friends, caretakers, coworkers, I have friends_comma_ caretakers_comma_ and coworkers_period_
neutral,It depends on comfort level,It depends on the comfort level of the people that I am with_period_
neutral,I rely on introductions,I typically rely on introductions_period_
neutral,Introducing myself when necessary,I will wait for a pause and introduce myself_period_
positive,People are willing to help me communicate,I find that people are willing to help me communicate_period_
neutral,I need people to be patient,I need people to be patient_period_
neutral,Being mislabeled is like being misunderstood,Imagine being called a nerd when you're actually a jock_period_ It sets the stage incorrectly_period_
negative,Some people label me as "disabled",Some people label me as "disabled"_comma_ but my brain functions just like anyone else's_period_
neutral,I wish I could define my first impression,I wish I had more power to define my first impression_period_
neutral,I portray my true identity through dialog,I portray my true identity through my dialog_comma_ if people will listen_period_
neutral,Speech portrays individuality,Through my speech_comma_ obviously_period_
positive,I'm a thinker and doer,People see me as "disabled"_comma_ but my brain functions at a high level_period_
neutral,I'm aware I need to correct first impressions,I am aware that I might through every new meeting_period_
negative,Being called "stupid" is a misappropriation,Being called "stupid" despite consistently earning A's_period_
positive,By communicating intellectually,By communicating on the same level intellectually as best I can_period_
neutral,Being a good listener helps,As best I can_comma_ I try to be a good listener_period_
positive,Relevant statements show I'm listening,By making relevant statements in conversation_period_
neutral,People try to finish my sentences,For the most part_ comma_ People try to finish my sentences_period_
neutral,If people listen patiently, overcoming first impressions is easy,I have no difficulty if people listen patiently_period_
positive,Second meetings are easier,Yes_comma_ because people slowly get to know me_period_
positive,Patience helps prove capabilities right,If people are patient and understanding enough to form a wise opinion_period_
neutral,Categories can be limiting or helpful,Or they can be helpful_comma_ depending on accuracy_period_
positive,My family sees me for who I am,My inclusive family sees me for who I am_period_
negative,People make assumptions about my thinking ability,They do all the time_period_
negative,There’s a misconception about "disabled" people,There's a misconception about "disabled" people_comma_ driven by ignorance and generalization_period_
negative,There are additional challenges in the dating world,In the dating world_comma_ there are additional challenges_comma_ awkwardness_comma_ and difficulties_period_
negative,People think they can't be with someone with a disability,Many people think they can't be with someone with a disability_period_
positive,Words like smart and fun reflect me,Smart_comma_ hard-working_comma_ engaging_comma_ and fun to be around_period_
negative,Words like disabled and dumb reflect me,Disabled_comma_ special_comma_ dumb_period_
neutral,Misperception accounts for the difference,Misperception and misunderstanding_period_
positive,Spending time to know me bridges the gap,Spending the time to get to know me_period_
positive,The book reflects my life and experiences,The people and experiences in my life hold significant meaning for me_period_
neutral,The book will include anecdotes,To make it more diverse_comma_ I'll include real-life anecdotes instead of just my opinions_period_
neutral,I'll use pseudonyms to protect identities,Yes_comma_ but to protect their identities_comma_ I'll use pseudonyms for some individuals_period_
positive,Honesty is required for my story,This book requires honesty and openness_period_
positive,I believe I have lessons to teach,I believe that I have much to teach people_period_
neutral,People learn not to judge by disability,Not to judge a person's value by their outward disability_period_
neutral,It’s hard for people to accept my actions are slow,That I am a thinker and a doer_comma_ although my actions are slow_period_
positive,The book will help others feel part of a community,Other people with disabilities will feel they are in a community_comma_ knowing that there are other people with the same life experiences_period_
neutral,Volume two will include stories from others,Stories from people like me_period_
neutral,I'm a normal guy,I'm just a normal guy who thinks and dreams like anyone else_period_
neutral,We all have dreams, My dreams are the same as anyone's,We all have dreams and aspirations that we strive for_period_ Mine are the same as anyone's_period_
positive,We need to understand people with different abilities,In the end_comma_ it's crucial for people to understand that individuals with different abilities are just as human and purposeful_period_
positive,I'm capable of anything,As an example_comma_ I can confidently say that I am capable of doing anything people think I cannot_period_
neutral,My journey was challenging but shaped by resilience,My journey has been challenging_comma_ but I've relied on my spirit_comma_ grit_comma_ passion_comma_ and resilience_period_
positive,I want to look back on an accomplished life,I hope to look back on my life as one of accomplishment_comma_ helping all people improve their quality of life_period_
positive,My journey shaped by challenges,My journey has been filled with challenges that demanded my spirit_comma_ determination_comma_ passion_comma_ and resilience_period_
neutral,Normal means thinking, communicating, interacting,Simply able to think_comma_ communicate_comma_ And interact_period_
negative,People with disabilities are not "different",Never_comma_ We are not even "different"_comma_ once we are allowed to communicate_period_
neutral,Effective communication is hindered by being heard,Simply being heard_comma_ whether it's via a device_comma_ or just being understood via dialog_period_
neutral,My day starts like anyone else,With an alarm clock at 8am like anyone else_period_
neutral,It takes time to get ready, but I'm excited,It takes me awhile to get myself ready for the day_comma_ but yes_comma_ I am anxious to get started_period_
positive,Accomplishment is empowering,A feeling of accomplishment is empowering_period_
positive,I'm grateful for where I am in life,I have worked so hard for this life that I simply wake up every morning to be where I am today_period_ It is a very empowering feeling indeed_period_
neutral,My day ends late, but I enjoy writing,I often stay up late writing_period_
neutral,It depends on my previous day's time,It depends on my sluggishness and the time I end my previous day_period_
positive,I plan ahead and look forward to each day,I often plan the next day and look forward to it_period_
neutral,Starting late isn’t ideal, but I avoid it,Not if I can help it_period_
neutral,Waking up early is essential,Waking early and not languishing_comma_ but keeping up and about_period_
neutral,I try to have regular hours,I try to get up regularly but sometimes stay up until 4 am_comma_ if I'm busy_period_
neutral,Writing and working on my computer keeps me busy,I like to write and work on my computer_period_
neutral,I'm not a fan of naps,Not if I can help it_period_
positive,I'm excited because my friend is visiting,I'm excited because my good friend is coming to visit today_period_
neutral,The snowstorm made it necessary to prepare,We talked about it last night_comma_ and she wants to help me before the snowstorm_period_
positive,Special day with warm memories,Ironically_comma_ today is a special day for me with warm memories_comma_ like an anniversary_period_
positive,Memories combined with anticipation,Memories of a good encounter combined with anticipation of an upcoming meeting must give you something to look forward to_period_
positive,Reminiscing about a different time,Now_comma_ I can't help but reminisce and be transported to that different time_period_
neutral,The time of year provokes memories,Sometimes the time of year provokes memories_period_
positive,Feeling like I’m reliving the memory,It's not just a memory_comma_ I feel like I am there again_period_
positive,Excited about my friend's visit,I'm excited because my good friend is coming to visit today_period_
neutral,Brushing teeth while the storm howls,As I brush my teeth_comma_ I can hear the wind howling_comma_ and it feels colder than usual_period_
neutral,Reminiscing about February 11,Several years ago_comma_ on February 11_comma_ I had a memorable encounter with someone_period_
neutral,Storms cause some apprehension,Yes_comma_ it's not easy for me to replenish my groceries and supplies_period_
positive,Enjoying nights out with friends,With the guys_comma_ meeting new people_period_
neutral,Changing scenery is nice,Sometimes a change in scenery is nice_period_
positive,Getting out of the house is refreshing,I like getting out of the house_period_
neutral,Storm keeps me in place,But a storm keeps you in place_period_
neutral,Prepared for the storm,Not if I can help it_period_
positive,Prepared for the storm with a friend,A friend is coming over to help_comma_ and I look forward to her visit_period_
positive,I enjoy memories in the morning,I take a few more minutes to revel in those memories before leaving my waterbed_period_
neutral,I write notes for my future book in the morning,After getting dressed_comma_ I go over to my computer where I've been keeping notes for my future book_period_
exploratory,I reflect on someone special in the morning,I put my head down on the back of the couch_comma_ with my phone beside me_comma_ and start thinking about that special girl from years ago_period_
neutral,I do scheduling and paperwork for my staff,Yesterday_comma_ I also spent some time on scheduling and paperwork for my staff on the computer_period_
positive,This morning reminds me of a past morning,The morning today reminds me so much of that morning years ago_period_
positive,My waterbed is delightful,By the way_comma_ my waterbed is heated and absolutely delightful_period_
exploratory,I think about a special girl in the morning,I lean back on the couch_comma_ with my phone nearby_comma_ and my mind wanders to the special girl I met years ago_period_
neutral,I handled staff scheduling yesterday,Yesterday_comma_ I also took care of scheduling and paperwork for my staff using the computer_period_
neutral,I see snowfall after writing my thoughts,After writing my thoughts on the computer_comma_ I glance out the front window and see a gentle snowfall_period_
exploratory,A memory felt fresh last night,It feels like it was just yesterday_comma_ and the memory happened last night after my staff had left_period_
neutral,I see gentle snowfall again,Once I finish writing my thoughts on the computer_comma_ I look out the front window and see a gentle snowfall_period_
exploratory,Some memories feel real again,Sometimes the memory is like it's happening again_period_
negative,I texted to express my concern,I texted them back_comma_ expressing my concern and saying _quote_I know_comma_ but I want to be safe_quote_period_
negative,If I get snowed in I can't eat or drink,The thing is_comma_ if I get snowed in_comma_ I won't be able to eat or drink until someone can shovel their way into my home_period_
negative,I felt frustrated and alone,With barely any answers_comma_ I started feeling frustrated_comma_ especially since I was worried about being snowed in all alone_period_
positive,My friend called me after some time,After a few hours of watching TV_comma_ I heard my cell phone ring_quote_it was my friend_comma_ [B-PER]_period_
negative,I said I want to be cautious,I responded to their messages_comma_ emphasizing my desire to stay safe by saying _quote_I understand_comma_ but I'd rather be cautious_quote_period_
negative,I felt frustrated and scared of being snowed in,With only a few responses received_comma_ I felt increasingly frustrated and concerned about the possibility of being snowed in without anyone around_period_
negative,If I get snowed in I won’t have food or drink,You see_comma_ if I do get snowed in_comma_ I won't have access to food or drinks until someone can clear the path to my home_period_
positive,My friend called me after a while,As I continued watching TV for a couple of hours_comma_ my cell phone suddenly rang_quote_it was my friend_comma_ [B-PER]_period_
negative,I told them I want to be safe,After texting them back_comma_ I made it clear that I wanted to prioritize my safety by saying _quote_I understand_comma_ but it's better to be safe_quote_period_
negative,I was frustrated and scared of being snowed in,With very few replies_comma_ my frustration grew_comma_ especially because I was worried about the possibility of being snowed in and being all alone_period_
negative,If I get snowed in I can't eat or drink,You see_comma_ if I get snowed in_comma_ I won't have any means to eat or drink until someone can shovel their way into my home_period_
positive,My friend eventually called,As I continued to watch TV for a few hours_comma_ my cell phone suddenly rang_quote_it was my friend_comma_ [B-PER]_comma_ on the line_period_
negative,I'm worried about the snowstorm,Oh hey_comma_ I miss you too_period_ I'm watching TV and worrying about the snowstorm that's coming_period_ It's supposed to get worse_period_
negative,I'm alone and feeling vulnerable,No_comma_ I'm alone and feeling vulnerable_period_
negative,I got anxious after hearing about the snowstorm,Well_comma_ I heard about the snowstorm a few hours ago_period_ They laughed at me about it coming_period_
neutral,My workplace closed because of the snowstorm,They were talking about it all week_comma_ and my workplace called me_quote_they're closed tomorrow because of the snowstorm_period_
negative,I'm anxious about the snowstorm,Hey_comma_ I miss you too_period_ Just watching TV and feeling a bit anxious about the upcoming snowstorm_period_ They're saying it's going to be worse_period_
negative,I'm alone and feeling vulnerable,No_comma_ I'm alone and feeling vulnerable_period_
negative,They laughed off my concern,Well_comma_ when I mentioned the snowstorm a few hours ago_comma_ they laughed it off_period_
positive,I appreciate the offer to visit,You really don't have to do that_comma_ but I would appreciate it_period_
negative,I'm worried about the snowstorm,Hey_comma_ I miss you too_period_ Just watching TV and worrying about the snowstorm that's coming_period_ They're saying it's going to be worse_period_
negative,I'm alone and feeling anxious,No_comma_ I'm alone and feeling anxious about it_period_
negative,They didn’t take my concern seriously,Well_comma_ when I mentioned the snowstorm a few hours ago_comma_ they laughed it off_period_
positive,I would appreciate and look forward to your visit,You really don't have to do that_comma_ but I would appreciate it_comma_ but I would look forward to a visit_period_
negative,I care about her and don’t want her hurt,I don't like it when she talks about her new guys because I genuinely care about her and don't want to see her get hurt_period_
positive,We have a great time together,When she's around_comma_ we always have a blast_period_ We joke around like friends_comma_ and it feels like all the problems in the world disappear_period_
exploratory,My feelings for her grew stronger,During these months_comma_ my feelings for her grew stronger_period_ She saw something special in me and helped me embrace that side of myself_period_
negative,We couldn't be together because of our differences,I eventually realized that we couldn't be together_period_ She wants a man who shares her interests like going for walks_comma_ running_comma_ biking_comma_ and exploring trails in the woods_period_
neutral,She didn’t talk about her new man this time,Usually_comma_ she updates me about her new man_comma_ but not this time_period_
exploratory,I can't stop thinking about her reply,I turned the TV back on_comma_ but I couldn't stop thinking about [B-PER]'s reply_period_ Though we've only worked together for a few months_comma_ it feels like we've known her for a long time_period_
positive,I've grown to love her,During these months I've grown to love her_period_
negative,We couldn’t be together because of our differences,However_comma_ over time_comma_ I realized that being together wasn't feasible_period_ She wants a partner who shares her interests_2014_going on walks_comma_ running_comma_ biking_comma_ and exploring trails in the woods_period_
positive,I appreciate that she thinks about me,I like that she thinks about me_comma_ although I don't want to worry her_period_
positive,I look forward to seeing and speaking with her,I very much do look forward to seeing and speaking with [B-PER]_period_
exploratory,I think I have strong feelings for her,I think I do_comma_ I think of her a lot_period_
negative,We can’t be partners,I realize that we can not be partners_period_
positive,A power wheelchair could change my life,If I could buy a track wheelchair with power_comma_ maybe I could do the things that people without minor disabilities can do_period_ It would be a game-changer for me_period_
negative,Finding the right person is hard,But finding the right person to be with is always a challenge_period_ I want someone who accepts me for who I am_period_ It's difficult because it seems like girls focus more on a person's appearance rather than what truly matters - personality_period_
negative,We became good friends instead of pursuing romance,As a result_comma_ we ended up being good friends instead of pursuing a romantic relationship_period_ Things didn't turn out as I had hoped between us_period_
positive,I've come to accept and appreciate the relationship,But I've come to accept it and be grateful for having met such a kind-hearted person_period_ Thank you_comma_ [B-PER]_period_
positive,A power wheelchair would open up possibilities,If I could acquire a power wheelchair with tracks_comma_ it would open up possibilities and allow me to experience what individuals without minor disabilities can enjoy_period_
negative,Finding the right partner is difficult,But finding the right partner is a daunting task_period_ I long for someone who appreciates me for who I am_comma_ beyond superficial appearances_period_ Unfortunately_comma_ it feels like girls prioritize external factors rather than the most important aspect - personality_period_
negative,Our relationship evolved into friendship,Consequently_comma_ our relationship evolved into a strong friendship rather than a romantic one_period_ Things didn't work out according to my initial hopes_period_
positive,I'm grateful for the relationship,Nonetheless_comma_ I'm grateful to have encountered such a wonderful person_period_ I thank [B-PER] for the opportunity_period_
positive,My power wheelchair has limitations,Participating in those activities with her is something I truly cherish_period_ Being outdoors when the weather is nice is invigorating_period_ However_comma_ my power wheelchair has its limitations_comma_ and there are things I wish it could do_period_
negative,It’s hard to find someone who looks beyond appearances,Finding the right person to share my life with has proven challenging_period_ I desire a partner who sees beyond external appearances and appreciates my true self_period_ Unfortunately_comma_ it seems like girls often prioritize superficial attributes_period_
negative,Our relationship turned into a close friendship,As a result_comma_ our relationship evolved into a close friendship rather than a romantic one_period_ Things didn't unfold as I had envisioned_period_
positive,I'm grateful for meeting her,Nonetheless_comma_ I'm grateful to have crossed paths with such a kind-hearted individual_period_ I thank [B-PER] for allowing our meeting to take place_period_
neutral,She's coming over tomorrow,I'm watching the news; they're talking about how bad the snowstorm in [B-LOC] is getting_period_
neutral,No worries,I'm watching it too_period_ But no worries_comma_ my friend [B-PER] is coming around 9 am tomorrow_period_
positive,She’s the one with glasses and light brown hair,Oh_comma_ [B-PER] is coming! Is she the one who worked with you before? The pretty one with glasses and long light brown hair?_
positive,She quit to be friends with me,Yes_comma_ that's her_period_ She worked with me for a while but decided to quit period_ She thought I was a cool guy and wanted to be friends rather than just my staff_period_
positive,I'm glad she’s coming,I'm glad she's coming to be with you period_ I really liked her period_ What about your staff?_
neutral,No worries,I'm watching it too period_ But no worries_comma_ my friend [B-PER] is coming around 9 am tomorrow period_
positive,She worked with me before,Oh_comma_ [B-PER] is coming! Wasn't she the one who used to work with you? The pretty one with glasses and long light brown hair?_
positive,She wanted to be friends,Yes_comma_ that's her period_ She worked with me for a while but decided to quit period_ She thought I was a cool guy and wanted to be friends rather than just my staff period_
negative,Staff didn’t take the storm seriously,I texted them_comma_ but they didn't take the snowstorm seriously period_ Thankfully_comma_ [B-PER] is coming_comma_ and that makes me happy period_
positive,I'm here for you,If you need anything_comma_ don't hesitate to text me period_
neutral,My friend is coming over,I'm watching it too period_ But don't worry_comma_ my friend [B-PER] is coming tomorrow around 9 am period_
positive,She worked with me,Oh_comma_ [B-PER] is coming! Wasn't she the one who used to work with you? The pretty girl with glasses and long light brown hair?_
positive,She wanted to be friends,Yes_comma_ that's her period_ She used to work with me_comma_ but she quit because she thought I was a cool guy and wanted to be friends rather than just my staff period_
positive,She’s coming to keep me company,I like when [B-PER] visits period_ I'm very fond of her period_
negative,Staff didn’t take the snowstorm seriously,I texted them_comma_ but they didn't take the snowstorm seriously period_ Luckily_comma_ [B-PER] is coming_comma_ and that puts me at ease period_
neutral,My parents are concerned,Hi [B-PER]_comma_ it's your mom period_ we watched the news_comma_ and we know you're going to be getting a storm period_ Please be safe and stay at home period_ We hope someone is going to be with you at home period_ We love you period_
positive,I'm not alone,Thank you_comma_ luckily I have a friend that will be here in the morning period_ Love you guys_comma_ goodnight period_
